Rank,Player Name,Position
1,Adrian Peterson,RB
2,Jamaal Charles,RB
3,LeSean McCoy,RB
4,Matt Forte,RB
5,Eddie Lacy,RB
6,Peyton Manning,QB
7,Jimmy Graham,TE
8,Calvin Johnson,WR
9,Montee Ball,RB
10,Demaryius Thomas,WR
11,Arian Foster,RB
12,Dez Bryant,WR
13,Drew Brees,QB
14,Aaron Rodgers,QB
15,DeMarco Murray,RB
16,Marshawn Lynch,RB
17,Brandon Marshall,WR
18,A.J. Green,WR
19,Zac Stacy,RB
20,Alfred Morris,RB
21,Giovani Bernard,RB
22,Jordy Nelson,WR
23,Rob Gronkowski,TE
24,Julio Jones,WR
25,Alshon Jeffery,WR
26,Antonio Brown,WR
27,Le'Veon Bell,RB
28,Andre Ellington,RB
29,Doug Martin,RB
30,Julius Thomas,TE
31,Pierre Garcon,WR
32,Randall Cobb,WR
33,Victor Cruz,WR
34,C.J. Spiller,RB
35,Andre Johnson,WR
36,Rashad Jennings,RB
37,Joique Bell,RB
38,Vincent Jackson,WR
39,Roddy White,WR
40,Wes Welker,WR
41,Torrey Smith,WR
42,Keenan Allen,WR
43,Larry Fitzgerald,WR
44,Frank Gore,RB
45,Steven Jackson,RB
46,Shane Vereen,RB
47,Cordarrelle Patterson,WR
48,Michael Crabtree,WR
49,Toby Gerhart,RB
50,Ray Rice,RB
51,Lamar Miller,RB
52,Ben Tate,RB
53,DeSean Jackson,WR
54,Matthew Stafford,QB
55,Percy Harvin,WR
56,Michael Floyd,WR
57,Reggie Bush,RB
58,Ryan Mathews,RB
59,Bishop Sankey,RB
60,Maurice Jones-Drew,RB
61,Chris Johnson,RB
62,Pierre Thomas,RB
63,Trent Richardson,RB
64,Andre Williams,RB
65,Kendall Wright,WR
66,Julian Edelman,WR
67,Andrew Luck,QB
68,Robert Griffin III,QB
69,Tom Brady,QB
70,Cam Newton,QB
71,Emmanuel Sanders,WR
72,Stevan Ridley,RB
73,Marques Colston,WR
74,T.Y. Hilton,WR
75,Brandin Cooks,WR
76,Greg Olsen,TE
77,Vernon Davis,TE
78,Nick Foles,QB
79,Jay Cutler,QB
80,Matt Ryan,QB
81,Tony Romo,QB
82,Colin Kaepernick,QB
83,Jordan Reed,TE
84,Jordan Cameron,TE
85,Jason Witten,TE
86,Terrance Williams,WR
87,Dennis Pitta,TE
88,Reggie Wayne,WR
89,Riley Cooper,WR
90,Sammy Watkins,WR
91,Mike Wallace,WR
92,Jeremy Maclin,WR
93,Andrew Hawkins,WR
94,Eric Decker,WR
95,Golden Tate,WR
96,Cecil Shorts,WR
97,Josh Gordon,WR
98,Chris Ivory,RB
99,Fred Jackson,RB
100,Donald Brown,RB
101,Mike Evans,WR
102,LeGarrette Blount,RB
103,Jeremy Hill,RB
104,DeAndre Hopkins,WR
105,Kelvin Benjamin,WR
106,Justin Hunter,WR
107,Kyle Rudolph,TE
108,Zach Ertz,TE
109,Seattle,DST
110,Khiry Robinson,RB
111,Jarrett Boykin,WR
112,Terrance West,RB
113,Bernard Pierce,RB
114,Philip Rivers,QB
115,Russell Wilson,QB
116,Christine Michael,RB
117,Danny Amendola,WR
118,Greg Jennings,WR
119,Rueben Randle,WR
120,Dwayne Bowe,WR
121,Darren McFadden,RB
122,Ahmad Bradshaw,RB
123,Danny Woodhead,RB
124,Markus Wheaton,WR
125,Lance Dunbar,RB
126,Anquan Boldin,WR
127,Darren Sproles,RB
128,Shonn Greene,RB
129,DeAngelo Williams,RB
130,James Jones,WR
131,Kenny Stills,WR
132,Knowshon Moreno,RB
133,Tavon Austin,WR
134,Jerrel Jernigan,WR
135,Harry Douglas,WR
136,Bryce Brown,RB
137,C.J. Anderson,RB
138,Chris Polk,RB
139,Devonta Freeman,RB
140,Tre Mason,RB
141,James White,RB
142,Marvin Jones,WR
143,Mark Ingram,RB
144,Aaron Dobson,WR
145,Martellus Bennett,TE
146,Jonathan Grimes,RB
147,Charles Clay,TE
148,Steve Smith,WR
149,Hakeem Nicks,WR
150,Stepfan Taylor,RB
151,Steve Johnson,WR
152,Eric Ebron,TE
153,Jerricho Cotchery,WR
154,Miles Austin,WR
155,Knile Davis,RB
156,Mike Williams,WR
157,Carlos Hyde,RB
158,Jonathan Stewart,RB
159,James Starks,RB
160,Antonio Gates,TE
161,Ladarius Green,TE
162,Bobby Rainey,RB
163,Mike Tolbert,RB
164,Doug Baldwin,WR
165,Latavius Murray,RB
166,Ronnie Hillman,RB
167,Dwayne Allen,TE
168,Theo Riddick,RB
169,Dexter McCluster,WR
170,Marcel Reece,RB
171,Jordan Todman,RB
172,BenJarvus Green-Ellis,RB
173,Roy Helu,RB
174,Brandon Bolden,RB
175,Brian Hartline,WR
176,Denarius Moore,WR
177,Cody Latimer,WR
178,Carolina,DST
179,San Francisco,DST
180,Cincinnati,DST
181,New England,DST
182,Denver,DST
183,Arizona,DST
184,Kansas City,DST
185,St. Louis,DST
186,Houston,DST
187,New Orleans,DST
188,Baltimore,DST
189,Matt Prater,K
190,Stephen Gostkowski,K
191,Justin Tucker,K
192,Adam Vinatieri,K
193,Steven Hauschka,K
194,Dan Bailey,K
195,Blair Walsh,K
196,Matt Bryant,K
197,Phil Dawson,K
198,Mason Crosby,K
199,Nick Novak,K
200,Robbie Gould,K
